11, 13, 17, Mon Jan  9 10:18:51 2023
18, 17, 17, Mon Jan  9 10:19:51 2023
13, 18, 16, Mon Jan  9 10:20:51 2023
16, 18, 21, Mon Jan  9 10:21:51 2023
17, 18, 12, Mon Jan  9 10:22:51 2023
16, 20, 20, Mon Jan  9 10:23:51 2023
19, 28, 19, Mon Jan  9 10:24:51 2023
13, 13, 15, Mon Jan  9 10:25:51 2023
18, 19, 20, Mon Jan  9 10:26:51 2023
15, 19, 14, Mon Jan  9 10:27:51 2023
19, 22, 14, Mon Jan  9 10:28:51 2023
14, 19, 20, Mon Jan  9 10:29:51 2023
14, 15, 11, Mon Jan  9 10:30:51 2023
18, 17, 19, Mon Jan  9 10:31:51 2023
16, 22, 20, Mon Jan  9 10:32:51 2023
17, 18, 18, Mon Jan  9 10:33:51 2023
21, 18, 20, Mon Jan  9 10:34:51 2023
12, 18, 11, Mon Jan  9 10:35:51 2023
18, 21, 18, Mon Jan  9 10:36:51 2023
15, 18, 18, Mon Jan  9 10:37:51 2023
11, 17, 11, Mon Jan  9 10:38:51 2023
19, 19, 19, Mon Jan  9 10:39:51 2023
22, 26, 27, Mon Jan  9 10:40:51 2023
17, 19, 15, Mon Jan  9 10:41:51 2023
13, 18, 19, Mon Jan  9 10:42:51 2023
23, 22, 25, Mon Jan  9 10:43:51 2023
16, 19, 18, Mon Jan  9 10:44:51 2023
23, 27, 27, Mon Jan  9 10:45:51 2023
12, 20, 15, Mon Jan  9 10:46:51 2023
11, 15, 19, Mon Jan  9 10:47:51 2023
16, 21, 15, Mon Jan  9 10:48:51 2023
18, 18, 20, Mon Jan  9 10:49:51 2023
17, 15, 21, Mon Jan  9 10:50:51 2023
25, 21, 18, Mon Jan  9 10:51:51 2023
20, 24, 24, Mon Jan  9 10:52:51 2023
18, 17, 19, Mon Jan  9 10:53:51 2023
21, 21, 18, Mon Jan  9 10:54:51 2023
19, 17, 20, Mon Jan  9 10:55:51 2023
22, 24, 20, Mon Jan  9 10:56:51 2023
19, 20, 15, Mon Jan  9 10:57:51 2023
18, 20, 21, Mon Jan  9 10:58:51 2023
16, 16, 10, Mon Jan  9 10:59:51 2023
21, 18, 22, Mon Jan  9 11:00:51 2023
14, 14, 12, Mon Jan  9 11:01:51 2023
10, 12, 7, Mon Jan  9 11:02:51 2023

10, 12, 7, Mon Jan  9 11:02:51 2023

18, 22, 22, Mon Jan  9 11:03:51 2023
16, 25, 13, Mon Jan  9 11:04:51 2023
20, 19, 14, Mon Jan  9 11:05:51 2023
16, 19, 17, Mon Jan  9 11:06:51 2023
13, 15, 13, Mon Jan  9 11:07:51 2023
13, 17, 20, Mon Jan  9 11:08:51 2023
14, 17, 16, Mon Jan  9 11:09:51 2023
10, 13, 11, Mon Jan  9 11:10:51 2023
13, 17, 16, Mon Jan  9 11:11:51 2023
26, 26, 25, Mon Jan  9 11:12:51 2023
28, 22, 21, Mon Jan  9 11:13:51 2023
17, 18, 19, Mon Jan  9 11:14:51 2023
12, 15, 16, Mon Jan  9 11:15:51 2023
18, 20, 16, Mon Jan  9 11:16:51 2023
11, 13, 10, Mon Jan  9 11:17:51 2023
23, 17, 16, Mon Jan  9 11:18:51 2023
20, 24, 23, Mon Jan  9 11:19:51 2023
21, 15, 20, Mon Jan  9 11:20:51 2023
13, 16, 11, Mon Jan  9 11:21:51 2023
