
b'Start LoRa Client\r\n'
b'2022-03-25T01:22:09.093Z,0,0,0,223,123,227,0,1448,1106,1410,\r\n'
b'2022-03-25T01:23:09.093Z,0,0,0,236,132,238,0,1373,1173,1431,\r\n'
b'2022-03-25T01:24:09.094Z,0,0,0,214,114,229,0,1330,1111,1396,\r\n'
b'2022-03-25T01:25:09.094Z,0,0,0,215,124,243,0,1384,1180,1429,\r\n'
b'2022-03-25T01:26:09.094Z,0,0,0,246,121,236,0,1342,1187,1420,\r\n'
b'2022-03-25T01:27:09.095Z,0,0,0,240,134,225,0,1390,1127,1436,\r\n'
b'2022-03-25T01:28:09.095Z,0,0,0,227,113,224,0,1400,1126,1392,\r\n'
b'2022-03-25T01:29:09.096Z,0,0,0,206,114,236,0,1391,1184,1442,\r\n'
b'2022-03-25T01:22:09.093Z,0,0,0,223,123,227,0,1448,1106,1410,\r\n'
b'2022-03-25T01:23:09.093Z,0,0,0,236,132,238,0,1373,1173,1431,\r\n'
b'2022-03-25T01:24:09.094Z,0,0,0,214,114,229,0,1330,1111,1396,\r\n'
b'2022-03-25T01:25:09.094Z,0,0,0,215,124,243,0,1384,1180,1429,\r\n'
b'2022-03-25T01:26:09.094Z,0,0,0,246,121,236,0,1342,1187,1420,\r\n'
b''
b'No reply, is LoRa server running?\r\n'
b'2022-03-25T01:28:09.095Z,0,0,0,227,113,224,0,1400,1126,1392,\r\n'
b'2022-03-25T01:29:09.096Z,0,0,0,206,114,236,0,1391,1184,1442,\r\n'
b'2022-03-25T01:22:09.093Z,0,0,0,223,123,227,0,1448,1106,1410,\r\n'
b'2022-03-25T01:23:09.093Z,0,0,0,236,132,238,0,1373,1173,1431,\r\n'
b'2022-03-25T01:24:09.094Z,0,0,0,214,114,229,0,1330,1111,1396,\r\n'
b'2022-03-25T01:25:09.094Z,0,0,0,215,124,243,0,1384,1180,1429,\r\n'
b'2022-03-25T01:26:09.094Z,0,0,0,246,121,236,0,1342,1187,1420,\r\n'
b'2022-03-25T01:27:09.095Z,0,0,0,240,134,225,0,1390,1127,1436,\r\n'
b'2022-03-25T01:28:09.095Z,0,0,0,227,113,224,0,1400,1126,1392,\r\n'
b'2022-03-25T01:29:09.096Z,0,0,0,206,114,236,0,1391,1184,1442,\r\n'
b'2022-03-25T01:22:09.093Z,0,0,0,223,123,227,0,1448,1106,1410,\r\n'
b'2022-03-25T01:23:09.093Z,0,0,0,236,132,238,0,1373,1173,1431,\r\n'
b'2022-03-25T01:24:09.094Z,0,0,0,214,114,229,0,1330,1111,1396,\r\n'
b'2022-03-25T01:25:09.094Z,0,0,0,215,124,243,0,1384,1180,1429,\r\n'
b'2022-03-25T01:26:09.094Z,0,0,0,246,121,236,0,1342,1187,1420,\r\n'
b'2022-03-25T01:27:09.095Z,0,0,0,240,134,225,0,1390,1127,1436,\r\n'
b'Start LoRa Client\r\n'
b'2022-03-25T01:22:09.093Z,0,0,0,223,123,227,0,1448,1106,1410,\r\n'
b'2022-03-25T01:23:09.093Z,0,0,0,236,132,238,0,1373,1173,1431,\r\n'
